CCODRO;Signification
P;Proprietaire
U;Usufruitier (associe avec n)
N;Nu-proprietaire (associe avec u)
B;Bailleur a construction (associe avec r)
R;Preneur a construction (associe avec b)
F;Foncier (associe avec d ou t)
T;Tenuyer (associe avec f)
D;Domanier (associe avec f)
V;Bailleur d'un bail a rehabilitation (associe avec w)
W;Preneur d'un bail a rehabilitation (associe avec v)
A;Locataire-Attributaire (associe avec p)
E;Emphyteote (associe avec p)
K;Antichresiste (associe avec p)
L;Fonctionnaire loge
G;Gerant,mandataire,gestionnaire
S;Syndic de copropriete
H;Associe dans une societe en transparence fiscale(associe avec p)
O;Autorisation d’occupation temporaire (70 ans)
J;Jeune agriculteur
Q;Gestionnaire taxe sur les bureaux (ile de france)
X;La Poste proprietaire et occupant
Y;La Poste occupant - non proprietaire
C;Fiduciaire
M;Occupant d'une parcelle appartenant au département de Mayotte ou à l'Etat (associé à P)
