CCONLC;Signification
AP;Appartement
AT;Antenne téléphone
AU;Autoroute
CA;Commerce sans boutique
CB;Local divers
CD;Dépendance commerciale
CH;Chantier
CM;Commerce avec boutique
DC;Dépendance lieux communs
DE;Dépendance bâtie isolée
LC;Local commun
MA;Maison
ME;Maison exceptionnelle
MP;Maison partagée par une limite territoriale
SM;Sol de maison
U ;Etablissement industriel
U1;Gare
U2;Gare : Triage
U3;Gare : Atelier matériel
U4;Gare : Atelier magasin
U5;Gare : Dépôt - Titulaire
U6;Gare : Dépôt - Réel
U7;Gare : Matériel transport
U8;Gare : Entretien matériel roulant
U9;Gare : Station usine
UE;Transformateur électrique
UG;Appareil à gaz
UN;Usine nucléaire
US;Etablissement industriel (évalué par méthode particulière)
