CGROUP;Signification
A;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
B;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
C;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
D;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
E;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
F;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
G;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
H;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
I;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
J;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
K;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
L;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
M;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
N;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
O;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
P;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
Q;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
R;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
S;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
T;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
U;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
V;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
W;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
X;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
Y;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
Z;Pour les personnes physiques, il s'agit de l'initiale du nom de la personne qui a permis de générer le compte. En général, il s'agit de la personne figurant dans le premier libellé partiel.
*;Pour les copropriétaires, les syndicats de copropriétaires, les associes de SCI en transparence fiscale, et tout autre groupement, titulaires de droits réels sur les parties communes des immeubles collectifs, il s'agit du caractère '*'.
+;Pour les COLLECTIVITES LOCALES et  les  personnes morales autres que celles désignées ci-dessus, il s'agit du caractère '+'.
