GNEXTL;Signification
AD;Droit commun (2 ans) - addition de construction    
AE;Exonération de 20 ans en faveur des logements sociaux qui respectent un certain nombre de normes environnementales pour additions de constructions
AF;2 ans pour addition de construction avec prêt conventionne, PAP ou PLA
AL;Exo de 15 ans pour logements sociaux (AC)
AP;Exonération annuelle pour installation antipollution
AQ;Exonération de 15 ans pour addition de construction antérieure au 01/01/1973
AS;Abattement de 30% pour les locaux sociaux situés dans les DOM et équipés contre les risques naturels
AT;Exonération de 30 ans pour les logements sociaux respectant certains critères de qualité environnementale (addition de construction).
AU;Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l'Etat (addition de construction)
AV;Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l'Etat (addition de construction)
AW;Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l'Etat (addition de construction)
AX;Longue durée (10 ans) - addition de construction
AY;Exo de 25 ans pour logements sociaux (AC)
AZ;Exonération de 30 ans pour les logements sociaux respectant certains critères de qualité environnementale (addition de construction).
BE;Local situé dans un bassin d'emploi à redynamiser. Article 1383 H du CGI.
DF;Exonération pour bâtiment déshydratation des fourrages.
EA;Economiquement faible - type A
EB;Economiquement faible - type B
EC;Economiquement faible - type C
EE;Exonération économiquement faible (ECF) de type E.
EF;Exonération économiquement faible (ECF) de type F.
EI;Exonération pour les jeunes entreprises innovantes
EN;Exonération entreprise nouvelle.
GS;Exo pour groupement de coopération sanitaire
HU;Exo de 15 ans pour logements sociaux acquis ou aménagés
HY;Exo de 25 ans pour logements sociaux acquis ou aménagés
LA;Durée variable - totale ou partielle - PLA
LM;Local situé dans une zone de revitalisation rurale. Article 1383 E bis du CGI.
LR;Durée variable - totale ou partielle habilitation
LW;Exonération de 25 ans pour les logements acquis avec  l'aide de l'Etat en vue de leur location.
LY;Prorogation de 10 ans de l’exonération « LE » prévue à l’art. 1384 C du CGI
ND;Droit commun (2 ans) - construction nouvelle
NE;Exonération de 20 ans en faveur des logements sociaux qui respectent un certain nombre de normes environnementales pour constructions nouvelles
NF;2 ans pour construction nouvelle avec prêt conventionne, PAP ou PLA
NL;Exo de 15 ans pour logements sociaux (CN)
NQ;Exonération de 15 ans pour construction nouvelle  antérieure au 01/01/1973
NT;Exonération de 30 ans pour les logements sociaux respectant certains critères de qualité environnementale (construction nouvelle).
NU;Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l'Etat (construction nouvelle)
NV;Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l'Etat (construction nouvelle)
NW;Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l'Etat (construction nouvelle)
NX;Longue durée (10 ans) - construction nouvelle
NY;Exo de 25 ans pour logements sociaux (CN)
NZ;Exonération de 30 ans pour les logements sociaux respectant certains critères de qualité environnementale (construction nouvelle).
PC;Exo de 5 ans pour locaux situés dans un pôle de compétitivité – art. 1383 F du CGI
PE;Prolongation a durée variable d’exonération de droit commun
PX;Prolongation exonérations NX et AX (5 ans maxi)
RA;Exonération de certains établissements industriels durée indéterminée.
RC;Exo pour bail à réhabilitation pris à compter du 01/01/2005 – art. 1384 B, 1586 B et 1599 ter E du CGI
RQ;Local achevé avant la mise en place d'un plan de prévention des risques technologiques. Article 1383 G du CGI.
RW;Local achevé avant le 01/01/1989 ayant fait l'objet de dépenses destinées à économiser l'énergie. Article 1383-O B du CGI.
ZF;Exonération zone franche.
ZR;Exo de 15 ans pour locaux situés dans une zone de revitalisation rurale – art. 1383 E du CGI
ZS;Abattement ZUS 30 % HLM SEM
ZT;Logement topé ZUS
ZU;Exonération pour nouvelles zones franches
ZV;Exo de 5 ans pour zone franche urbaine de 3éme génération – art. 1384 C bis du CGI
