GNEXTS;Signification
TU;Exo pour terrains nouvellement plantés en arbres truffiers - art. 1395 B-II du CGI
OL;Exonération pour terrains plantés en oliviers (sur délibération)
TR;Exonération pour plantation de truffiers (sur délibération)
NO;Exonération pour plantation de noyers (sur délibération)
PB;Exonération pour plantation de bois (groupe 5),
TA;Exonération des terres agricoles (groupes de culture 1 à 6, 8 et 9)
HP;Exonération temporaire (exonération totale en zone naturelle)
HR;Exonération temporaire (exonération de 50% sur proposition de la CCID)
NA;Exonération Natura 2000
PP;Peupliers : - plantations et semis : Exonération temporaire de 10 ans
PR;Résineux : - plantations et semis - futaies, taillis sous futaie en régénération naturelle : Exonération temporaire de 30 ans
PF;Feuillus : - plantations et semis - futaies, taillis sous futaie en régénération naturelle : Exonération temporaire de 50 ans
ER;Terrains boisés présentant un état de futaie irrégulière en équilibre de régénération : Exonération partielle (25%) de 15 ans, Renouvelable (% dans PEXN)
