TOP6d155165	START
TOP6d155165	attack_mode	3
TOP6d155165	attack_kern	3
TOP6d155165	benchmark	0
TOP6d155165	stdout_flag	0
TOP6d155165	bitmap_min	16
TOP6d155165	bitmap_max	24
TOP6d155165	debug_mode	0
TOP6d155165	force	0
TOP6d155165	kernel_accel	0
TOP6d155165	kernel_loops	0
TOP6d155165	nvidia_spin_damp	100
TOP6d155165	gpu_temp_disable	0
TOP6d155165	gpu_temp_abort	90
TOP6d155165	gpu_temp_retain	75
TOP6d155165	hash_mode	9600
TOP6d155165	hex_charset	0
TOP6d155165	hex_salt	0
TOP6d155165	hex_wordlist	0
TOP6d155165	increment	0
TOP6d155165	increment_max	54
TOP6d155165	increment_min	1
TOP6d155165	keyspace	0
TOP6d155165	left	0
TOP6d155165	logfile_disable	0
TOP6d155165	loopback	0
TOP6d155165	markov_classic	0
TOP6d155165	markov_disable	0
TOP6d155165	markov_threshold	0
TOP6d155165	outfile_autohex	1
TOP6d155165	outfile_check_timer	5
TOP6d155165	outfile_format	3
TOP6d155165	potfile_disable	0
TOP6d155165	powertune_enable	0
TOP6d155165	scrypt_tmto	0
TOP6d155165	quiet	0
TOP6d155165	remove	0
TOP6d155165	remove_timer	60
TOP6d155165	restore	0
TOP6d155165	restore_disable	0
TOP6d155165	restore_timer	60
TOP6d155165	rp_gen	0
TOP6d155165	rp_gen_func_max	4
TOP6d155165	rp_gen_func_min	1
TOP6d155165	rp_gen_seed	0
TOP6d155165	runtime	0
TOP6d155165	segment_size	32
TOP6d155165	show	0
TOP6d155165	status	1
TOP6d155165	machine_readable	0
TOP6d155165	status_timer	10
TOP6d155165	usage	0
TOP6d155165	username	1
TOP6d155165	version	0
TOP6d155165	weak_hash_threshold	0
TOP6d155165	workload_profile	2
TOP6d155165	limit	0
TOP6d155165	skip	0
TOP6d155165	separator	:
TOP6d155165	opencl_vector_width	0
TOP6d155165	outfile	../Avancement grade.crack
TOP6d155165	rule_buf_l	:
TOP6d155165	rule_buf_r	:
TOP6d155165	session	hashcat
TOP6d155165	veracrypt_pim	0
TOP798782c4	START
TOP798782c4	attack_mode	3
TOP798782c4	attack_kern	3
TOP798782c4	benchmark	0
TOP798782c4	stdout_flag	0
TOP798782c4	bitmap_min	16
TOP798782c4	bitmap_max	24
TOP798782c4	debug_mode	0
TOP798782c4	force	0
TOP798782c4	kernel_accel	0
TOP798782c4	kernel_loops	0
TOP798782c4	nvidia_spin_damp	100
TOP798782c4	gpu_temp_disable	0
TOP798782c4	gpu_temp_abort	90
TOP798782c4	gpu_temp_retain	75
TOP798782c4	hash_mode	9600
TOP798782c4	hex_charset	0
TOP798782c4	hex_salt	0
TOP798782c4	hex_wordlist	0
TOP798782c4	increment	0
TOP798782c4	increment_max	54
TOP798782c4	increment_min	1
TOP798782c4	keyspace	0
TOP798782c4	left	0
TOP798782c4	logfile_disable	0
TOP798782c4	loopback	0
TOP798782c4	markov_classic	0
TOP798782c4	markov_disable	0
TOP798782c4	markov_threshold	0
TOP798782c4	outfile_autohex	1
TOP798782c4	outfile_check_timer	5
TOP798782c4	outfile_format	3
TOP798782c4	potfile_disable	0
TOP798782c4	powertune_enable	0
TOP798782c4	scrypt_tmto	0
TOP798782c4	quiet	0
TOP798782c4	remove	0
TOP798782c4	remove_timer	60
TOP798782c4	restore	0
TOP798782c4	restore_disable	0
TOP798782c4	restore_timer	60
TOP798782c4	rp_gen	0
TOP798782c4	rp_gen_func_max	4
TOP798782c4	rp_gen_func_min	1
TOP798782c4	rp_gen_seed	0
TOP798782c4	runtime	0
TOP798782c4	segment_size	32
TOP798782c4	show	0
TOP798782c4	status	1
TOP798782c4	machine_readable	0
TOP798782c4	status_timer	10
TOP798782c4	usage	0
TOP798782c4	username	1
