Url;Orientation;Legende;CodGrpAtl;CodAtl;CodPic;CodGA;CodGAP;X;Y
t/GESTION_DU_PATRIMOINE/photo/000001/Statue_Henri_IV/arrière.jpg;90;Hôtel de Ville;5;1;1;5_1;5_1_1;0;0
t/GESTION_DU_PATRIMOINE/photo/000001/_000001.jpg;0;Hôtel de Ville;5;1;2;5_1;5_1_2;0;0
t/GESTION_DU_PATRIMOINE/photo/000001/_DSC0047.JPG;0;Hôtel de Ville;5;1;3;5_1;5_1_3;0;0
t/GESTION_DU_PATRIMOINE/photo/000002/000002-1.JPG;0;Batiment administratif;5;2;1;5_2;5_2_1;0;0
t/GESTION_DU_PATRIMOINE/photo/000002/000002.JPG;0;Batiment administratif;5;2;2;5_2;5_2_2;0;0
t/GESTION_DU_PATRIMOINE/photo/000002/Capture-maps-2.JPG;0;Batiment administratif;5;2;3;5_2;5_2_3;0;0
t/GESTION_DU_PATRIMOINE/photo/000002/Capture-maps-3.JPG;0;Batiment administratif;5;2;4;5_2;5_2_4;0;0
t/GESTION_DU_PATRIMOINE/photo/000002/Capture-maps.JPG;0;Batiment administratif;5;2;5;5_2;5_2_5;0;0
t/GESTION_DU_PATRIMOINE/photo/000004/000004.JPG;0;Batiment 4;5;4;1;5_4;5_4_1;0;0
t/GESTION_DU_PATRIMOINE/photo/000004/_000004.jpg;0;Batiment 4;5;4;2;5_4;5_4_2;0;0
t/GESTION_DU_PATRIMOINE/photo/000005/_000005.jpg;0;Centre Technique Municipal;5;5;1;5_5;5_5_1;0;0
t/GESTION_DU_PATRIMOINE/photo/000006/000006.png;0;Batiment 6;5;6;1;5_6;5_6_1;0;0
t/GESTION_DU_PATRIMOINE/photo/000006/PIC00004.JPG;0;Tribunal d'instance;5;6;2;5_6;5_6_2;0;0
t/GESTION_DU_PATRIMOINE/photo/000006/tribunalinstance.JPG;0;Tribunal;5;6;3;5_6;5_6_3;0;0
t/GESTION_DU_PATRIMOINE/photo/000007/007.jpg;0;Batiment des Jacobins, place Cacaud;5;7;1;5_7;5_7_1;0;0
t/GESTION_DU_PATRIMOINE/photo/000008/008_poste_police_mireuil.jpg;0;Poste de Police de Mireuil;5;8;1;5_8;5_8_1;0;0
t/GESTION_DU_PATRIMOINE/photo/000010/010_école_réaumur.jpg;0;Ecole Réaumur;5;10;1;5_10;5_10_1;0;0
