,,Degré (décimal),,Degré Minute,,Degré Minute Seconde,
shapeid,name,longitude_Decimal,latitude_Decimal,longitude_Degre_Minute,latitude_Degre_Minute,longitude _DMS,latitude_DMS
0,24 Rue Moscou,-1.180982,46.169928,-1.10.85892,46.10.19568,-1.10.51.535,46.10.11.741
1,34 Rue Moscou,-1.1838,46.16945,-1.11.028,46.10.167,-1.11.1.68,46.10.10.02
2,Av 14 Juillet Pharmacie,-1.126633,46.152534,-1.07.598,46.09.152,-1.7.35.879,46.9.9.122
3,Av De Capitainerie,-1.166783,46.1421,-1.10.007,46.08.526,,
4,Av Michel Crepeau,-1.152767,46.154134,-1.09.166,46.09.248,,
5,Avenu De Lisbonne Mireuil,-1.180333,46.16905,-1.10.820,46.10.143,,
6,Avenue Du Champ De Mars,-1.149083,46.169484,-1.08.945,46.10.169,,
7,Avenue Winston Portneuf,-1.1871,46.153701,-1.11.226,46.09.222,,
8,Balade Louis Foulquier,-1.154483,46.15555,-1.09.269,46.09.333,,
9,Bois Des Protestants,-1.142317,46.175001,-1.08.539,46.10.500,,
10,Chef De Baie Plage,-1.209517,46.147501,-1.12.571,46.08.850,,
11,Chef De Baie Tour Carrée,-1.193817,46.151234,-1.11.629,46.09.074,,
12,Chemin Du Ruisseau,-1.155167,46.169484,-1.09.310,46.10.169,,
13,Concurrence Pont Levis,-1.15945,46.155267,-1.09.567,46.09.316,,
14,Cours Dame Hilaire,-1.173783,46.168334,-1.10.427,46.10.100,,
15,Cours Des Dames,-1.1531,46.157734,-1.09.186,46.09.464,,
16,Cours St Michel,-1.1491,46.160717,-1.08.946,46.09.643,,
17,Depot Diagonal Mireuil,-1.183733,46.166584,-1.11.024,46.09.995,,
18,Digue Bout Blanc,-1.160967,46.148567,-1.09.658,46.08.914,,
19,Digue Lazaret,-1.17195,46.145117,-1.10.317,46.08.707,,
20,Eglise De La Genette,-1.170783,46.16005,-1.10.247,46.09.603,,
21,Entree Ecole Mireuil,-1.184717,46.167934,-1.11.083,46.10.076,,
22,Entree Mairie Annexe Laleu,-1.201367,46.1674,-1.12.082,46.10.044,,
23,Haut Mail,-1.1708,46.15565,-1.10.248,46.09.339,,
24,Lac De La Sole,-1.153417,46.144367,-1.09.205,46.08.662,,
25,Mail Bas,-1.161117,46.15595,-1.09.667,46.09.357,,
26,Mail Entree Parc Animalier,-1.1606,46.156934,-1.09.636,46.09.416,,
27,Mail Grille,-1.1633,46.155701,-1.09.798,46.09.342,,
28,NUm 6 Brave Rondeau,-1.145967,46.16305,-1.08.758,46.09.783,,
29,Parc Animalier Cote Guiton,-1.160417,46.158517,-1.09.625,46.09.511,,
30,Parc Franck Espoir 1,-1.161583,46.172567,-1.09.695,46.10.354,,
31,Parc Laleu Canisette,-1.202933,46.166917,-1.12.176,46.10.015,,
32,Parcs Des Sources,-1.14515,46.177884,-1.08.709,46.10.673,,
33,Passerelle N Mandela,-1.159817,46.151817,-1.09.589,46.09.109,,
34,Piste Cyclable Jeanne Jugan,-1.149167,46.147034,-1.08.950,46.08.822,,
35,Piste Cyclable Moulin D'amour,-1.124483,46.172134,-1.07.469,46.10.328,,
36,Pkg Arsenal Etat Civil,-1.1485,46.160417,-1.08.910,46.09.625,,
