# Fichier d'exportation de valeurs de pixels transparents généré par QGIS
#
#
# Rouge	Vert	Blue	Transparence (%)

255	255	255	100
255	255	254	100
255	255	253	100
255	255	252	100
255	255	251	99
255	255	250	99
255	255	249	99
255	255	248	99
255	255	247	99
255	255	246	99
255	255	245	99
255	254	255	100
255	254	254	100
255	254	253	100
255	254	252	99
255	254	251	99
255	254	250	99
255	254	249	99
255	254	248	99
255	254	247	99
255	254	246	99
255	254	245	99
255	253	255	100
255	253	254	100
255	253	253	99
255	253	252	99
255	253	251	99
255	253	250	99
255	253	249	99
255	253	248	99
255	253	247	99
255	253	246	99
255	253	245	98
255	252	255	100
255	252	254	99
255	252	253	99
255	252	252	99
255	252	251	99
255	252	250	99
255	252	249	99
255	252	248	99
255	252	247	99
255	252	246	98
255	252	245	98
255	251	255	99
255	251	254	99
255	251	253	99
255	251	252	99
255	251	251	99
255	251	250	99
255	251	249	99
255	251	248	99
255	251	247	98
255	251	246	98
255	251	245	98
255	250	255	99
255	250	254	99
255	250	253	99
255	250	252	99
255	250	251	99
255	250	250	99
255	250	249	99
255	250	248	98
255	250	247	98
255	250	246	98
255	250	245	98
255	249	255	99
255	249	254	99
255	249	253	99
255	249	252	99
255	249	251	99
255	249	250	99
255	249	249	98
255	249	248	98
255	249	247	98
255	249	246	98
255	249	245	98
255	248	255	99
255	248	254	99
255	248	253	99
255	248	252	99
255	248	251	99
255	248	250	98
255	248	249	98
255	248	248	98
255	248	247	98
255	248	246	98
255	248	245	98
255	247	255	99
255	247	254	99
255	247	253	99
255	247	252	99
255	247	251	98
255	247	250	98
255	247	249	98
255	247	248	98
255	247	247	98
255	247	246	98
255	247	245	98
255	246	255	99
255	246	254	99
255	246	253	99
255	246	252	98
255	246	251	98
255	246	250	98
255	246	249	98
255	246	248	98
255	246	247	98
255	246	246	98
255	246	245	98
255	245	255	99
255	245	254	99
255	245	253	98
255	245	252	98
255	245	251	98
255	245	250	98
255	245	249	98
255	245	248	98
255	245	247	98
255	245	246	98
255	245	245	97
254	255	255	100
254	255	254	100
254	255	253	100
254	255	252	99
254	255	251	99
254	255	250	99
254	255	249	99
254	255	248	99
254	255	247	99
254	255	246	99
254	255	245	99
254	254	255	100
254	254	254	100
254	254	253	99
254	254	252	99
254	254	251	99
254	254	250	99
254	254	249	99
254	254	248	99
254	254	247	99
254	254	246	99
254	254	245	98
254	253	255	100
254	253	254	99
254	253	253	99
254	253	252	99
254	253	251	99
254	253	250	99
254	253	249	99
254	253	248	99
254	253	247	99
254	253	246	98
254	253	245	98
254	252	255	99
254	252	254	99
254	252	253	99
254	252	252	99
254	252	251	99
254	252	250	99
254	252	249	99
254	252	248	99
254	252	247	98
254	252	246	98
254	252	245	98
254	251	255	99
254	251	254	99
254	251	253	99
254	251	252	99
254	251	251	99
254	251	250	99
254	251	249	99
254	251	248	98
254	251	247	98
254	251	246	98
254	251	245	98
254	250	255	99
254	250	254	99
254	250	253	99
254	250	252	99
254	250	251	99
254	250	250	99
254	250	249	98
254	250	248	98
254	250	247	98
254	250	246	98
254	250	245	98
254	249	255	99
254	249	254	99
254	249	253	99
254	249	252	99
254	249	251	99
254	249	250	98
254	249	249	98
254	249	248	98
254	249	247	98
254	249	246	98
254	249	245	98
254	248	255	99
254	248	254	99
254	248	253	99
254	248	252	99
254	248	251	98
254	248	250	98
254	248	249	98
