-- open spool at Fri May 11 17:02:47 CEST 2012
Tables
-------------+----------------------+------------+---------+
 TABLE_SCHEM |      TABLE_NAME      | TABLE_TYPE | REMARKS |
-------------+----------------------+------------+---------+
 CLIENT1     | AA_AA                | TABLE      | [NULL]  |
 CLIENT1     | AA_ARCLOTS           | TABLE      | [NULL]  |
 CLIENT1     | AA_ARCLOTS_W         | TABLE      | [NULL]  |
 CLIENT1     | AA_ARCPAGES          | TABLE      | [NULL]  |
 CLIENT1     | AA_ARCPAGES_W        | TABLE      | [NULL]  |
 CLIENT1     | AA_POSTIT            | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_ADSCORR      | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_ICATEGOR     | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_IDBKEY       | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_IDEPT        | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_IFILENAM     | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_IGED         | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_IGROUP       | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_IMODELDO     | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_IUSER        | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_IUSERDAT     | TABLE      | [NULL]  |
 CLIENT1     | ADSCORR_IUSERTIM     | TABLE      | [NULL]  |
 CLIENT1     | CATTHES              | TABLE      | [NULL]  |
 CLIENT1     | CDAPPLI              | TABLE      | [NULL]  |
 CLIENT1     | CDAPPLI_000          | TABLE      | [NULL]  |
 CLIENT1     | CDUSR                | TABLE      | [NULL]  |
 CLIENT1     | CDUSR_000            | TABLE      | [NULL]  |
 CLIENT1     | CINEDM_APPLICATION   | TABLE      | [NULL]  |
 CLIENT1     | CT00A_CT00A          | TABLE      | [NULL]  |
 CLIENT1     | CT00A_IBT            | TABLE      | [NULL]  |
 CLIENT1     | CT00A_ILTDF          | TABLE      | [NULL]  |
 CLIENT1     | CT00A_ILTF           | TABLE      | [NULL]  |
 CLIENT1     | CT00A_INT            | TABLE      | [NULL]  |
 CLIENT1     | CT00A_IRT            | TABLE      | [NULL]  |
 CLIENT1     | CT00A_IST            | TABLE      | [NULL]  |
 CLIENT1     | CT00A_ITY            | TABLE      | [NULL]  |
 CLIENT1     | CT00A_IUFF           | TABLE      | [NULL]  |
 CLIENT1     | CT00A_IUS            | TABLE      | [NULL]  |
 CLIENT1     | CT00B_CT00B          | TABLE      | [NULL]  |
 CLIENT1     | CT00B_IBT            | TABLE      | [NULL]  |
 CLIENT1     | CT00B_ILTDF          | TABLE      | [NULL]  |
 CLIENT1     | CT00B_ILTF           | TABLE      | [NULL]  |
 CLIENT1     | CT00B_INT            | TABLE      | [NULL]  |
 CLIENT1     | CT00B_IRT            | TABLE      | [NULL]  |
 CLIENT1     | CT00B_IST            | TABLE      | [NULL]  |
 CLIENT1     | CT00B_ITY            | TABLE      | [NULL]  |
 CLIENT1     | CT00B_IUFF           | TABLE      | [NULL]  |
 CLIENT1     | CT00B_IUS            | TABLE      | [NULL]  |
 CLIENT1     | CT00F_CT00F          | TABLE      | [NULL]  |
 CLIENT1     | CT00F_IBT            | TABLE      | [NULL]  |
 CLIENT1     | CT00F_ILTDF          | TABLE      | [NULL]  |
 CLIENT1     | CT00F_ILTF           | TABLE      | [NULL]  |
 CLIENT1     | CT00F_INT            | TABLE      | [NULL]  |
 CLIENT1     | CT00F_IRT            | TABLE      | [NULL]  |
 CLIENT1     | CT00F_IST            | TABLE      | [NULL]  |
 CLIENT1     | CT00F_ITY            | TABLE      | [NULL]  |
 CLIENT1     | CT00F_IUFF           | TABLE      | [NULL]  |
 CLIENT1     | CT00F_IUS            | TABLE      | [NULL]  |
