-- open spool at Sat Oct 28 23:43:23 CEST 2017
Tables
-------------+--------------------------------+------------+---------+
 TABLE_SCHEM |           TABLE_NAME           | TABLE_TYPE | REMARKS |
-------------+--------------------------------+------------+---------+
 dbo         | dtproperties                   | TABLE      | [NULL]  |
 superdvlp   | Actions                        | TABLE      | [NULL]  |
 superdvlp   | Adresse                        | TABLE      | [NULL]  |
 superdvlp   | AductisApplication             | TABLE      | [NULL]  |
 superdvlp   | AlerteContratGestionnaire      | TABLE      | [NULL]  |
 superdvlp   | AlerteContratLocGestionnaire   | TABLE      | [NULL]  |
 superdvlp   | AlerteControleTiers            | TABLE      | [NULL]  |
 superdvlp   | AlerteMarcheGestionnaire       | TABLE      | [NULL]  |
 superdvlp   | Amortissement_exercice         | TABLE      | [NULL]  |
 superdvlp   | application_configuration      | TABLE      | [NULL]  |
 superdvlp   | Article                        | TABLE      | [NULL]  |
 superdvlp   | Article_Equivalent             | TABLE      | [NULL]  |
 superdvlp   | Article_Fabriquant             | TABLE      | [NULL]  |
 superdvlp   | Article_Fournisseur            | TABLE      | [NULL]  |
 superdvlp   | Article_Graine                 | TABLE      | [NULL]  |
 superdvlp   | Article_Magasin                | TABLE      | [NULL]  |
 superdvlp   | Article_Modele                 | TABLE      | [NULL]  |
 superdvlp   | Article_Modele_PieceJointe     | TABLE      | [NULL]  |
 superdvlp   | Article_Nature_comptable       | TABLE      | [NULL]  |
 superdvlp   | Article_PretTarification       | TABLE      | [NULL]  |
 superdvlp   | ArticleLot                     | TABLE      | [NULL]  |
 superdvlp   | ArticleModele_Caracteristique  | TABLE      | [NULL]  |
 superdvlp   | ArticleModele_InfoVegetal      | TABLE      | [NULL]  |
 superdvlp   | ArticleModeleAssociation       | TABLE      | [NULL]  |
 superdvlp   | Association                    | TABLE      | [NULL]  |
 superdvlp   | Association_Manifestation      | TABLE      | [NULL]  |
 superdvlp   | Association_Personnel          | TABLE      | [NULL]  |
 superdvlp   | Association_Subvention         | TABLE      | [NULL]  |
 superdvlp   | Assurance                      | TABLE      | [NULL]  |
 superdvlp   | Atelier                        | TABLE      | [NULL]  |
 superdvlp   | Attribut_equipement            | TABLE      | [NULL]  |
 superdvlp   | Bareme_Taxe_Essieu             | TABLE      | [NULL]  |
 superdvlp   | Bon_Absence                    | TABLE      | [NULL]  |
 superdvlp   | Bon_Absence_Heure              | TABLE      | [NULL]  |
 superdvlp   | Bon_Absence_PieceJointe        | TABLE      | [NULL]  |
 superdvlp   | Bon_casse                      | TABLE      | [NULL]  |
 superdvlp   | Bon_casse_article              | TABLE      | [NULL]  |
 superdvlp   | Bon_de_pr_t_de_mat             | TABLE      | [NULL]  |
 superdvlp   | Bon_de_pr_t_de_v_hic           | TABLE      | [NULL]  |
 superdvlp   | Bon_de_prestation_ext          | TABLE      | [NULL]  |
 superdvlp   | Bon_de_reintegration           | TABLE      | [NULL]  |
 superdvlp   | Bon_de_sortie                  | TABLE      | [NULL]  |
 superdvlp   | Bon_de_sortie_article          | TABLE      | [NULL]  |
 superdvlp   | Bon_de_sortie_PieceJointe      | TABLE      | [NULL]  |
 superdvlp   | Bon_de_transfert               | TABLE      | [NULL]  |
 superdvlp   | Bon_de_transfert_article       | TABLE      | [NULL]  |
 superdvlp   | Bon_de_travaux                 | TABLE      | [NULL]  |
 superdvlp   | Bon_de_travaux_PieceJointe     | TABLE      | [NULL]  |
 superdvlp   | Bon_entree                     | TABLE      | [NULL]  |
 superdvlp   | Bon_entree_article             | TABLE      | [NULL]  |
 superdvlp   | Bon_Entree_PieceJointe         | TABLE      | [NULL]  |
 superdvlp   | Bon_HOM                        | TABLE      | [NULL]  |
 superdvlp   | Bon_HOM_Article                | TABLE      | [NULL]  |
 superdvlp   | Bon_inventaire                 | TABLE      | [NULL]  |
 superdvlp   | Bon_inventaire_article         | TABLE      | [NULL]  |
 superdvlp   | Bon_Paiement_Conges            | TABLE      | [NULL]  |
 superdvlp   | Bon_Pret                       | TABLE      | [NULL]  |
 superdvlp   | Bon_Pret_Evenement             | TABLE      | [NULL]  |
 superdvlp   | Bon_Pret_Ligne                 | TABLE      | [NULL]  |
 superdvlp   | Bon_Pret_ORV                   | TABLE      | [NULL]  |
 superdvlp   | Bon_Pret_PieceJointe           | TABLE      | [NULL]  |
 superdvlp   | Bon_Pret_Preparation           | TABLE      | [NULL]  |
 superdvlp   | Bon_Pret_ReleveCompteur        | TABLE      | [NULL]  |
 superdvlp   | Bon_Pret_Tarification          | TABLE      | [NULL]  |
 superdvlp   | Bon_reintegration_article      | TABLE      | [NULL]  |
 superdvlp   | Bons_Analytique                | TABLE      | [NULL]  |
 superdvlp   | Bons_Facturation               | TABLE      | [NULL]  |
 superdvlp   | Bons_RoleTiers                 | TABLE      | [NULL]  |
 superdvlp   | BordereauLivLigneDeCommande    | TABLE      | [NULL]  |
 superdvlp   | BordereauLivLigneDeDemande     | TABLE      | [NULL]  |
 superdvlp   | BordereauLivLigneRetour        | TABLE      | [NULL]  |
 superdvlp   | BordereauLivLigneSortie        | TABLE      | [NULL]  |
 superdvlp   | BordereauLivLigneTransfert     | TABLE      | [NULL]  |
 superdvlp   | BordereauLivraison             | TABLE      | [NULL]  |
 superdvlp   | BordereauLivraison_PieceJointe | TABLE      | [NULL]  |
 superdvlp   | BPM_Mat_riel                   | TABLE      | [NULL]  |
 superdvlp   | Budget                         | TABLE      | [NULL]  |
 superdvlp   | CAR_Fichiers_Carburant         | TABLE      | [NULL]  |
 superdvlp   | CAR_Fichiers_Carburant_Detail  | TABLE      | [NULL]  |
